accession	species	gene	locality	specimen_voucher	isolate	paper_doi	notes
LC435324	sp.OR	control_region	Japan: Shiga, Lake Biwa		haplotype:RGO-18		Akihito et al. 2019 Jpn.J.Ichthyol.66:53-62; 琵琶湖; 474bp; 湖河回遊型
LC435325	sp.OR	control_region	Japan: Shiga, Lake Biwa		haplotype:RGO-19		Akihito et al. 2019 Jpn.J.Ichthyol.66:53-62; 琵琶湖; 474bp; 湖河回遊型
LC435326	sp.OR	control_region	Japan: Shiga, Lake Biwa		haplotype:RGO-20		Akihito et al. 2019 Jpn.J.Ichthyol.66:53-62; 琵琶湖; 474bp; 湖河回遊型
LC435327	sp.OR	control_region	Japan: Shiga, Lake Biwa		haplotype:RGO-21		Akihito et al. 2019 Jpn.J.Ichthyol.66:53-62; 琵琶湖; 474bp; 湖河回遊型
LC435328	sp.OR	control_region	Japan: Shiga, Lake Biwa		haplotype:RGO-22		Akihito et al. 2019 Jpn.J.Ichthyol.66:53-62; 琵琶湖; 474bp; 湖河回遊型
LC435329	sp.OR	control_region	Japan: Shiga, Lake Biwa		haplotype:RGO-23		Akihito et al. 2019 Jpn.J.Ichthyol.66:53-62; 琵琶湖; 474bp; 湖河回遊型
LC435330	sp.OR	control_region	Japan: Shiga, Lake Biwa		haplotype:RGO-24		Akihito et al. 2019 Jpn.J.Ichthyol.66:53-62; 琵琶湖; 474bp; 湖河回遊型
LC435331	sp.OR	control_region	Japan: Shiga, Lake Biwa		haplotype:RGO-25		Akihito et al. 2019 Jpn.J.Ichthyol.66:53-62; 琵琶湖; 474bp; 湖河回遊型
LC435332	sp.OR	control_region	Japan: Shiga, Lake Biwa		haplotype:RGO-26		Akihito et al. 2019 Jpn.J.Ichthyol.66:53-62; 琵琶湖; 474bp; 湖河回遊型
LC435333	sp.OR	control_region	Japan: Shiga, Lake Biwa		haplotype:RGO-27		Akihito et al. 2019 Jpn.J.Ichthyol.66:53-62; 琵琶湖; 474bp; 湖河回遊型
LC092051	sp.OR	12S	Japan: Chiba, Abiko, Tega-numa Pond	CBM:ZF:15797		Miya & Sado (未公刊)	MiFish参照配列; 169bp; 手賀沼 = kurodaiタイプ産地周辺
LC146304	sp.OR	12S	Japan: Kyoto, Miyazu, Kurita	CBM:ZF:16269		Miya & Sado (未公刊)	MiFish参照配列; 169bp; 日本海側
LC193165	sp.OR	12S	Japan: Chiba, Inzai, Kamenari River	CBM:ZF:16527		Miya & Sado (未公刊)	MiFish参照配列; 169bp
LC193280	sp.OR	12S	Japan: Nagano, Kami-ina	CBM:ZF:16493		Miya & Sado (未公刊)	MiFish参照配列; 169bp; 内陸
LC193300	sp.OR	12S	Japan: Akita	CBM:ZF:16609		Miya & Sado (未公刊)	MiFish参照配列; 169bp
LC193444	sp.OR	12S	Japan: Chiba, Narita	CBM:ZF:16881		Miya & Sado (未公刊)	MiFish参照配列; 169bp
LC193445	sp.OR	12S	Japan: Chiba, Isumi, Ogiwara	CBM:ZF:16068		Miya & Sado (未公刊)	MiFish参照配列; 169bp; 太平洋側河川
AB159088	sp.OR	microsatellite	Japan			Ohara et al. 2004 Mol.Ecol.Notes 4:449-451	マイクロサテライト座位 Rhi-1; 417bp
AB159089	sp.OR	microsatellite	Japan			Ohara et al. 2004 Mol.Ecol.Notes 4:449-451	マイクロサテライト座位 Rhi-2; 213bp
AB159090	sp.OR	microsatellite	Japan			Ohara et al. 2004 Mol.Ecol.Notes 4:449-451	マイクロサテライト座位 Rhi-3; 622bp
AB159091	sp.OR	microsatellite	Japan			Ohara et al. 2004 Mol.Ecol.Notes 4:449-451	マイクロサテライト座位 Rhi-4; 496bp
AB159092	sp.OR	microsatellite	Japan			Ohara et al. 2004 Mol.Ecol.Notes 4:449-451	マイクロサテライト座位 Rhi-5; 260bp
AB159093	sp.OR	microsatellite	Japan			Ohara et al. 2004 Mol.Ecol.Notes 4:449-451	マイクロサテライト座位 Rhi-6; 495bp
AB159094	sp.OR	microsatellite	Japan			Ohara et al. 2004 Mol.Ecol.Notes 4:449-451	マイクロサテライト座位 Rhi-7; 456bp
AB159095	sp.OR	microsatellite	Japan			Ohara et al. 2004 Mol.Ecol.Notes 4:449-451	マイクロサテライト座位 Rhi-8; 621bp
