accession	species	gene	locality	specimen_voucher	isolate	paper_doi	notes
AB988517	sp.OR	RAG2	Japan: Niigata, Seki River	NSMT:P:120793	OR-NI110816-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 両側回遊型
AB988518	sp.OR	RAG2	Japan: Niigata, Seki River	NSMT:P:120794	OR-NI110816-2	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 両側回遊型
AB988544	sp.OR	RAG2	Japan: Fukuoka, Fukutsu, Channel	NSMT:P:120822	OR-HK110724-5	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 両側回遊型
AB988545	sp.OR	RAG2	Japan: Fukuoka, Fukutsu, Channel	NSMT:P:120823	OR-HK110724-6	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 両側回遊型
AB988568	sp.OR	RAG2	Japan: Fukushima, Miharu Dam		OR-FS091026-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 陸封型
AB988569	sp.OR	RAG2	Japan: Fukushima, Miharu Dam		OR-FS091026-2	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 陸封型
AB988573	sp.OR	RAG2	Japan: Iwate, Ichinoseki, Pond		OR-IW081011-2	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 陸封型
AB988574	sp.OR	RAG2	Japan: Iwate, Oshu, Pond	NSMT:P:120838	OR-IW090528-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 陸封型
AB988575	sp.OR	RAG2	Japan: Hokkaido, Abashiri River		OR-HO120408-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 陸封型
AB988577	sp.OR	RAG2	Japan: Yamanashi, Fuefuki River	NSMT:P:120840	OR-YN120714-5	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 陸封型
AB988435	sp.OR	Ptr	Japan: Niigata, Seki River	NSMT:P:120793	OR-NI110816-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 両側回遊型
AB988436	sp.OR	Ptr	Japan: Niigata, Seki River	NSMT:P:120794	OR-NI110816-2	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 両側回遊型
AB988462	sp.OR	Ptr	Japan: Fukuoka, Fukutsu, Channel	NSMT:P:120822	OR-HK110724-5	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 両側回遊型
AB988463	sp.OR	Ptr	Japan: Fukuoka, Fukutsu, Channel	NSMT:P:120823	OR-HK110724-6	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 両側回遊型
AB988486	sp.OR	Ptr	Japan: Fukushima, Miharu Dam		OR-FS091026-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 陸封型
AB988487	sp.OR	Ptr	Japan: Fukushima, Miharu Dam		OR-FS091026-2	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 陸封型
AB988491	sp.OR	Ptr	Japan: Iwate, Ichinoseki, Pond		OR-IW081011-2	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 陸封型
AB988492	sp.OR	Ptr	Japan: Iwate, Oshu, Pond	NSMT:P:120838	OR-IW090528-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 陸封型
AB988493	sp.OR	Ptr	Japan: Hokkaido, Abashiri River		OR-HO120408-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 陸封型
AB988495	sp.OR	Ptr	Japan: Yamanashi, Fuefuki River	NSMT:P:120840	OR-YN120714-5	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 陸封型
AB988353	sp.OR	RYR3	Japan: Niigata, Seki River	NSMT:P:120793	OR-NI110816-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 両側回遊型
AB988354	sp.OR	RYR3	Japan: Niigata, Seki River	NSMT:P:120794	OR-NI110816-2	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 両側回遊型
AB988380	sp.OR	RYR3	Japan: Fukuoka, Fukutsu, Channel	NSMT:P:120822	OR-HK110724-5	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 両側回遊型
AB988381	sp.OR	RYR3	Japan: Fukuoka, Fukutsu, Channel	NSMT:P:120823	OR-HK110724-6	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 両側回遊型
AB988404	sp.OR	RYR3	Japan: Fukushima, Miharu Dam		OR-FS091026-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 陸封型
AB988405	sp.OR	RYR3	Japan: Fukushima, Miharu Dam		OR-FS091026-2	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 陸封型
AB988409	sp.OR	RYR3	Japan: Iwate, Ichinoseki, Pond		OR-IW081011-2	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 陸封型
AB988410	sp.OR	RYR3	Japan: Iwate, Oshu, Pond	NSMT:P:120838	OR-IW090528-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 陸封型
AB988411	sp.OR	RYR3	Japan: Hokkaido, Abashiri River		OR-HO120408-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 陸封型
AB988413	sp.OR	RYR3	Japan: Yamanashi, Fuefuki River	NSMT:P:120840	OR-YN120714-5	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 陸封型
AB988271	sp.OR	myh6	Japan: Niigata, Seki River	NSMT:P:120793	OR-NI110816-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 両側回遊型
AB988272	sp.OR	myh6	Japan: Niigata, Seki River	NSMT:P:120794	OR-NI110816-2	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 両側回遊型
AB988298	sp.OR	myh6	Japan: Fukuoka, Fukutsu, Channel	NSMT:P:120822	OR-HK110724-5	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 両側回遊型
AB988299	sp.OR	myh6	Japan: Fukuoka, Fukutsu, Channel	NSMT:P:120823	OR-HK110724-6	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 両側回遊型
AB988322	sp.OR	myh6	Japan: Fukushima, Miharu Dam		OR-FS091026-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 陸封型
AB988323	sp.OR	myh6	Japan: Fukushima, Miharu Dam		OR-FS091026-2	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 陸封型
AB988327	sp.OR	myh6	Japan: Iwate, Ichinoseki, Pond		OR-IW081011-2	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 陸封型
AB988328	sp.OR	myh6	Japan: Iwate, Oshu, Pond	NSMT:P:120838	OR-IW090528-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 陸封型
AB988329	sp.OR	myh6	Japan: Hokkaido, Abashiri River		OR-HO120408-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 陸封型
AB988331	sp.OR	myh6	Japan: Yamanashi, Fuefuki River	NSMT:P:120840	OR-YN120714-5	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; 陸封型
LC097739	sp.OR	cytb	Japan: Shiga, Lake Biwa		haplotype:ROR_01	10.1002/ece3.2170	Tabata et al. 2016; 琵琶湖; 577bp; 湖河回遊型
LC097740	sp.OR	cytb	Japan: Shiga, Lake Biwa		haplotype:ROR_02	10.1002/ece3.2170	Tabata et al. 2016; 琵琶湖; 577bp; 湖河回遊型
LC097741	sp.OR	cytb	Japan: Shiga, Lake Biwa		haplotype:ROR_03	10.1002/ece3.2170	Tabata et al. 2016; 琵琶湖; 577bp; 湖河回遊型
