specimen_id	taxon_genbank	taxon_current	morphotype	life_history	locality	prefecture	river_system	habitat_type	collection_date	specimen_voucher	body_size_mm	egg_size_mm	otolith_srca	sex	cited_in	figure_table	notes
LD-WK110824-23	Rhinogobius fluviatilis	R. fluviatilis			Japan: Wakayama, Migiaidu River	Wakayama			2011-08-24	NSMT:P:120789					Yamasaki et al. 2015		
LD-WK110824-24	Rhinogobius fluviatilis	R. fluviatilis			Japan: Wakayama, Migiaidu River	Wakayama			2011-08-24	NSMT:P:120790					Yamasaki et al. 2015		
MO-OK110923-7	Rhinogobius sp. MO	sp.MO			Japan: Okinawa, Okinawa Island, Genka River	Okinawa			2011-09-23	NSMT:P:120815					Yamasaki et al. 2015		
MO-OK111211-1	Rhinogobius sp. MO	sp.MO			Japan: Okinawa, Okinawa Island, Hiranami River	Okinawa			2011-12-11						Yamasaki et al. 2015		
MO-OK111211-2	Rhinogobius sp. MO	sp.MO			Japan: Okinawa, Okinawa Island, Hiranami River	Okinawa			2011-12-11	NSMT:P:120826					Yamasaki et al. 2015		
MO-OK121111-3	Rhinogobius sp. MO	sp.MO			Japan: Okinawa, Okinawa Island, Sade River	Okinawa			2012-11-11	NSMT:P:120854					Yamasaki et al. 2015		
OM-SG110725-1	Rhinogobius sp. OM	sp.OM			Japan: Shiga, Sakura River	Shiga			2011-07-25	NSMT:P:120791					Yamasaki et al. 2015		
R.leavelli	Rhinogobius leavelli	R. leavelli			China: Guangxi, Bei Lun He River	Guangxi				NSMT:P:120835					Yamasaki et al. 2015		
R.virgigena	Rhinogobius virgigena	R. virgigena			China: Guangxi, Fang Cheng Jiang River	Guangxi				NSMT:P:120836					Yamasaki et al. 2015		
RF-GF110816-1	Rhinogobius flumineus	R. flumineus			Japan: Gifu, Ibi River, Channel	Gifu			2011-08-16	NSMT:P:120784					Yamasaki et al. 2015		
RF-HI120512-1	Rhinogobius flumineus	R. flumineus			Japan: Hiroshima, Tabusa River	Hiroshima			2012-05-12						Yamasaki et al. 2015		
RF-KY120402-1	Rhinogobius flumineus	R. flumineus			Japan: Kyoto, Kamo River	Kyoto			2012-04-02	NSMT:P:120821					Yamasaki et al. 2015		
